layer,src0_name,n_tokens,top_k,n_expert,ids
17,"blk.17.ffn_down_exps.weight",2,8,232,224 10 105 134 125 161 225 82; 13 137 224 221 10 187 134 227
18,"blk.18.ffn_gate_exps.weight",2,8,232,152 80 105 223 127 61 78 39; 179 217 170 76 16 14 20 82
18,"blk.18.ffn_up_exps.weight",2,8,232,152 80 105 223 127 61 78 39; 179 217 170 76 16 14 20 82
18,"blk.18.ffn_down_exps.weight",2,8,232,152 80 105 223 127 61 78 39; 179 217 170 76 16 14 20 82
19,"blk.19.ffn_gate_exps.weight",2,8,232,2 220 209 22 208 198 228 31; 113 146 148 177 195 87 51 225
19,"blk.19.ffn_up_exps.weight",2,8,232,2 220 209 22 208 198 228 31; 113 146 148 177 195 87 51 225
19,"blk.19.ffn_down_exps.weight",2,8,232,2 220 209 22 208 198 228 31; 113 146 148 177 195 87 51 225
20,"blk.20.ffn_gate_exps.weight",2,8,232,9 140 177 184 205 114 111 25; 41 204 226 162 139 48 53 71
20,"blk.20.ffn_up_exps.weight",2,8,232,9 140 177 184 205 114 111 25; 41 204 226 162 139 48 53 71
20,"blk.20.ffn_down_exps.weight",2,8,232,9 140 177 184 205 114 111 25; 41 204 226 162 139 48 53 71
21,"blk.21.ffn_gate_exps.weight",2,8,232,2 105 113 222 163 121 199 136; 162 104 146 41 96 206 19 58
21,"blk.21.ffn_up_exps.weight",2,8,232,2 105 113 222 163 121 199 136; 162 104 146 41 96 206 19 58
21,"blk.21.ffn_down_exps.weight",2,8,232,2 105 113 222 163 121 199 136; 162 104 146 41 96 206 19 58
22,"blk.22.ffn_gate_exps.weight",2,8,232,79 205 9 204 218 221 115 28; 179 16 113 33 26 50 157 129
22,"blk.22.ffn_up_exps.weight",2,8,232,79 205 9 204 218 221 115 28; 179 16 113 33 26 50 157 129
22,"blk.22.ffn_down_exps.weight",2,8,232,79 205 9 204 218 221 115 28; 179 16 113 33 26 50 157 129
23,"blk.23.ffn_gate_exps.weight",2,8,232,65 49 201 32 79 218 191 33; 48 67 216 41 106 25 27 175
23,"blk.23.ffn_up_exps.weight",2,8,232,65 49 201 32 79 218 191 33; 48 67 216 41 106 25 27 175
23,"blk.23.ffn_down_exps.weight",2,8,232,65 49 201 32 79 218 191 33; 48 67 216 41 106 25 27 175
24,"blk.24.ffn_gate_exps.weight",2,8,232,95 176 43 21 116 64 197 45; 30 73 218 168 212 7 137 125
24,"blk.24.ffn_up_exps.weight",2,8,232,95 176 43 21 116 64 197 45; 30 73 218 168 212 7 137 125
24,"blk.24.ffn_down_exps.weight",2,8,232,95 176 43 21 116 64 197 45; 30 73 218 168 212 7 137 125
