layer,src0_name,n_tokens,top_k,n_expert,ids
19,"blk.19.ffn_up_exps.weight",1,8,232,203 35 131 69 137 54 229 129
19,"blk.19.ffn_down_exps.weight",1,8,232,203 35 131 69 137 54 229 129
20,"blk.20.ffn_gate_exps.weight",1,8,232,184 61 172 140 161 56 15 36
20,"blk.20.ffn_up_exps.weight",1,8,232,184 61 172 140 161 56 15 36
20,"blk.20.ffn_down_exps.weight",1,8,232,184 61 172 140 161 56 15 36
21,"blk.21.ffn_gate_exps.weight",1,8,232,117 30 230 208 14 87 161 71
21,"blk.21.ffn_up_exps.weight",1,8,232,117 30 230 208 14 87 161 71
21,"blk.21.ffn_down_exps.weight",1,8,232,117 30 230 208 14 87 161 71
22,"blk.22.ffn_gate_exps.weight",1,8,232,7 87 45 32 132 149 214 167
22,"blk.22.ffn_up_exps.weight",1,8,232,7 87 45 32 132 149 214 167
22,"blk.22.ffn_down_exps.weight",1,8,232,7 87 45 32 132 149 214 167
23,"blk.23.ffn_gate_exps.weight",1,8,232,118 192 92 15 173 174 186 63
23,"blk.23.ffn_up_exps.weight",1,8,232,118 192 92 15 173 174 186 63
23,"blk.23.ffn_down_exps.weight",1,8,232,118 192 92 15 173 174 186 63
24,"blk.24.ffn_gate_exps.weight",1,8,232,151 140 142 89 33 67 211 81
24,"blk.24.ffn_up_exps.weight",1,8,232,151 140 142 89 33 67 211 81
24,"blk.24.ffn_down_exps.weight",1,8,232,151 140 142 89 33 67 211 81
25,"blk.25.ffn_gate_exps.weight",1,8,232,120 80 137 147 25 162 182 165
25,"blk.25.ffn_up_exps.weight",1,8,232,120 80 137 147 25 162 182 165
25,"blk.25.ffn_down_exps.weight",1,8,232,120 80 137 147 25 162 182 165
26,"blk.26.ffn_gate_exps.weight",1,8,232,189 120 93 222 148 72 202 13
26,"blk.26.ffn_up_exps.weight",1,8,232,189 120 93 222 148 72 202 13
26,"blk.26.ffn_down_exps.weight",1,8,232,189 120 93 222 148 72 202 13
27,"blk.27.ffn_gate_exps.weight",1,8,232,70 109 205 4 173 67 85 195
27,"blk.27.ffn_up_exps.weight",1,8,232,70 109 205 4 173 67 85 195
27,"blk.27.ffn_down_exps.weight",1,8,232,70 109 205 4 173 67 85 195
0,"blk.0.ffn_gate_exps.weight",1,8,232,187 8 221 50 76 112 152 217
0,"blk.0.ffn_up_exps.weight",1,8,232,187 8 221 50 76 112 152 217
0,"blk.0.ffn_down_exps.weight",1,8,232,187 8 221 50 76 112 152 217
1,"blk.1.ffn_gate_exps.weight",1,8,232,12 220 228 128 5 129 9 24
1,"blk.1.ffn_up_exps.weight",1,8,232,12 220 228 128 5 129 9 24
1,"blk.1.ffn_down_exps.weight",1,8,232,12 220 228 128 5 129 9 24
2,"blk.2.ffn_gate_exps.weight",1,8,232,215 7 225 46 136 203 93 180
2,"blk.2.ffn_up_exps.weight",1,8,232,215 7 225 46 136 203 93 180
2,"blk.2.ffn_down_exps.weight",1,8,232,215 7 225 46 136 203 93 180
3,"blk.3.ffn_gate_exps.weight",1,8,232,134 87 113 50 211 228 94 186
3,"blk.3.ffn_up_exps.weight",1,8,232,134 87 113 50 211 228 94 186
3,"blk.3.ffn_down_exps.weight",1,8,232,134 87 113 50 211 228 94 186
4,"blk.4.ffn_gate_exps.weight",1,8,232,206 39 148 50 224 225 226 60
4,"blk.4.ffn_up_exps.weight",1,8,232,206 39 148 50 224 225 226 60
4,"blk.4.ffn_down_exps.weight",1,8,232,206 39 148 50 224 225 226 60
5,"blk.5.ffn_gate_exps.weight",1,8,232,211 170 44 95 145 22 59 116
5,"blk.5.ffn_up_exps.weight",1,8,232,211 170 44 95 145 22 59 116
5,"blk.5.ffn_down_exps.weight",1,8,232,211 170 44 95 145 22 59 116
6,"blk.6.ffn_gate_exps.weight",1,8,232,100 142 27 103 81 109 209 108
6,"blk.6.ffn_up_exps.weight",1,8,232,100 142 27 103 81 109 209 108
6,"blk.6.ffn_down_exps.weight",1,8,232,100 142 27 103 81 109 209 108
7,"blk.7.ffn_gate_exps.weight",1,8,232,62 21 81 18 16 50 55 24
7,"blk.7.ffn_up_exps.weight",1,8,232,62 21 81 18 16 50 55 24
7,"blk.7.ffn_down_exps.weight",1,8,232,62 21 81 18 16 50 55 24
8,"blk.8.ffn_gate_exps.weight",1,8,232,77 28 82 153 48 167 194 178
8,"blk.8.ffn_up_exps.weight",1,8,232,77 28 82 153 48 167 194 178
8,"blk.8.ffn_down_exps.weight",1,8,232,77 28 82 153 48 167 194 178
9,"blk.9.ffn_gate_exps.weight",1,8,232,76 39 210 168 33 208 78 42
9,"blk.9.ffn_up_exps.weight",1,8,232,76 39 210 168 33 208 78 42
9,"blk.9.ffn_down_exps.weight",1,8,232,76 39 210 168 33 208 78 42
10,"blk.10.ffn_gate_exps.weight",1,8,232,46 152 125 119 76 193 195 30
10,"blk.10.ffn_up_exps.weight",1,8,232,46 152 125 119 76 193 195 30
10,"blk.10.ffn_down_exps.weight",1,8,232,46 152 125 119 76 193 195 30
11,"blk.11.ffn_gate_exps.weight",1,8,232,63 60 32 73 230 18 221 98
11,"blk.11.ffn_up_exps.weight",1,8,232,63 60 32 73 230 18 221 98
11,"blk.11.ffn_down_exps.weight",1,8,232,63 60 32 73 230 18 221 98
12,"blk.12.ffn_gate_exps.weight",1,8,232,62 47 37 83 162 192 56 175
12,"blk.12.ffn_up_exps.weight",1,8,232,62 47 37 83 162 192 56 175
12,"blk.12.ffn_down_exps.weight",1,8,232,62 47 37 83 162 192 56 175
13,"blk.13.ffn_gate_exps.weight",1,8,232,29 111 227 148 190 186 97 85
13,"blk.13.ffn_up_exps.weight",1,8,232,29 111 227 148 190 186 97 85
13,"blk.13.ffn_down_exps.weight",1,8,232,29 111 227 148 190 186 97 85
14,"blk.14.ffn_gate_exps.weight",1,8,232,70 188 31 97 40 19 185 158
14,"blk.14.ffn_up_exps.weight",1,8,232,70 188 31 97 40 19 185 158
14,"blk.14.ffn_down_exps.weight",1,8,232,70 188 31 97 40 19 185 158
15,"blk.15.ffn_gate_exps.weight",1,8,232,39 28 118 163 137 157 141 210
15,"blk.15.ffn_up_exps.weight",1,8,232,39 28 118 163 137 157 141 210
15,"blk.15.ffn_down_exps.weight",1,8,232,39 28 118 163 137 157 141 210
16,"blk.16.ffn_gate_exps.weight",1,8,232,15 36 161 178 182 16 158 171
16,"blk.16.ffn_up_exps.weight",1,8,232,15 36 161 178 182 16 158 171
16,"blk.16.ffn_down_exps.weight",1,8,232,15 36 161 178 182 16 158 171
17,"blk.17.ffn_gate_exps.weight",1,8,232,102 160 21 151 217 203 111 150
17,"blk.17.ffn_up_exps.weight",1,8,232,102 160 21 151 217 203 111 150
17,"blk.17.ffn_down_exps.weight",1,8,232,102 160 21 151 217 203 111 150
18,"blk.18.ffn_gate_exps.weight",1,8,232,75 226 23 125 74 141 188 104
18,"blk.18.ffn_up_exps.weight",1,8,232,75 226 23 125 74 141 188 104
18,"blk.18.ffn_down_exps.weight",1,8,232,75 226 23 125 74 141 188 104
19,"blk.19.ffn_gate_exps.weight",1,8,232,59 134 207 212 160 21 90 171
19,"blk.19.ffn_up_exps.weight",1,8,232,59 134 207 212 160 21 90 171
19,"blk.19.ffn_down_exps.weight",1,8,232,59 134 207 212 160 21 90 171
20,"blk.20.ffn_gate_exps.weight",1,8,232,102 44 192 211 225 87 133 132
20,"blk.20.ffn_up_exps.weight",1,8,232,102 44 192 211 225 87 133 132
20,"blk.20.ffn_down_exps.weight",1,8,232,102 44 192 211 225 87 133 132
21,"blk.21.ffn_gate_exps.weight",1,8,232,156 135 158 165 48 225 47 35
21,"blk.21.ffn_up_exps.weight",1,8,232,156 135 158 165 48 225 47 35
21,"blk.21.ffn_down_exps.weight",1,8,232,156 135 158 165 48 225 47 35
22,"blk.22.ffn_gate_exps.weight",1,8,232,180 123 194 225 125 108 144 135
22,"blk.22.ffn_up_exps.weight",1,8,232,180 123 194 225 125 108 144 135
22,"blk.22.ffn_down_exps.weight",1,8,232,180 123 194 225 125 108 144 135
23,"blk.23.ffn_gate_exps.weight",1,8,232,110 5 19 148 82 197 121 6
23,"blk.23.ffn_up_exps.weight",1,8,232,110 5 19 148 82 197 121 6
23,"blk.23.ffn_down_exps.weight",1,8,232,110 5 19 148 82 197 121 6
24,"blk.24.ffn_gate_exps.weight",1,8,232,208 23 156 1 55 42 43 38
24,"blk.24.ffn_up_exps.weight",1,8,232,208 23 156 1 55 42 43 38
24,"blk.24.ffn_down_exps.weight",1,8,232,208 23 156 1 55 42 43 38
25,"blk.25.ffn_gate_exps.weight",1,8,232,165 57 218 99 38 153 30 67
25,"blk.25.ffn_up_exps.weight",1,8,232,165 57 218 99 38 153 30 67
25,"blk.25.ffn_down_exps.weight",1,8,232,165 57 218 99 38 153 30 67
26,"blk.26.ffn_gate_exps.weight",1,8,232,189 175 180 133 91 178 157 210
26,"blk.26.ffn_up_exps.weight",1,8,232,189 175 180 133 91 178 157 210
26,"blk.26.ffn_down_exps.weight",1,8,232,189 175 180 133 91 178 157 210
27,"blk.27.ffn_gate_exps.weight",1,8,232,135 70 116 170 85 111 141 95
27,"blk.27.ffn_up_exps.weight",1,8,232,135 70 116 170 85 111 141 95
27,"blk.27.ffn_down_exps.weight",1,8,232,135 70 116 170 85 111 141 95
0,"blk.0.ffn_gate_exps.weight",1,8,232,128 99 201 93 56 132 139 229
0,"blk.0.ffn_up_exps.weight",1,8,232,128 99 201 93 56 132 139 229
0,"blk.0.ffn_down_exps.weight",1,8,232,128 99 201 93 56 132 139 229
1,"blk.1.ffn_gate_exps.weight",1,8,232,87 101 59 17 212 3 6 186
1,"blk.1.ffn_up_exps.weight",1,8,232,87 101 59 17 212 3 6 186
1,"blk.1.ffn_down_exps.weight",1,8,232,87 101 59 17 212 3 6 186
2,"blk.2.ffn_gate_exps.weight",1,8,232,141 96 231 154 29 85 227 70
2,"blk.2.ffn_up_exps.weight",1,8,232,141 96 231 154 29 85 227 70
2,"blk.2.ffn_down_exps.weight",1,8,232,141 96 231 154 29 85 227 70
3,"blk.3.ffn_gate_exps.weight",1,8,232,24 51 78 196 103 10 171 94
3,"blk.3.ffn_up_exps.weight",1,8,232,24 51 78 196 103 10 171 94
3,"blk.3.ffn_down_exps.weight",1,8,232,24 51 78 196 103 10 171 94
4,"blk.4.ffn_gate_exps.weight",1,8,232,211 125 104 66 55 28 84 61
4,"blk.4.ffn_up_exps.weight",1,8,232,211 125 104 66 55 28 84 61
4,"blk.4.ffn_down_exps.weight",1,8,232,211 125 104 66 55 28 84 61
5,"blk.5.ffn_gate_exps.weight",1,8,232,174 105 183 114 61 133 109 80
5,"blk.5.ffn_up_exps.weight",1,8,232,174 105 183 114 61 133 109 80
5,"blk.5.ffn_down_exps.weight",1,8,232,174 105 183 114 61 133 109 80
6,"blk.6.ffn_gate_exps.weight",1,8,232,205 150 202 97 71 207 226 219
6,"blk.6.ffn_up_exps.weight",1,8,232,205 150 202 97 71 207 226 219
6,"blk.6.ffn_down_exps.weight",1,8,232,205 150 202 97 71 207 226 219
7,"blk.7.ffn_gate_exps.weight",1,8,232,149 156 210 146 177 174 223 144
7,"blk.7.ffn_up_exps.weight",1,8,232,149 156 210 146 177 174 223 144
7,"blk.7.ffn_down_exps.weight",1,8,232,149 156 210 146 177 174 223 144
8,"blk.8.ffn_gate_exps.weight",1,8,232,230 163 213 165 223 27 96 48
8,"blk.8.ffn_up_exps.weight",1,8,232,230 163 213 165 223 27 96 48
8,"blk.8.ffn_down_exps.weight",1,8,232,230 163 213 165 223 27 96 48
9,"blk.9.ffn_gate_exps.weight",1,8,232,207 221 4 125 81 155 140 5
9,"blk.9.ffn_up_exps.weight",1,8,232,207 221 4 125 81 155 140 5
9,"blk.9.ffn_down_exps.weight",1,8,232,207 221 4 125 81 155 140 5
10,"blk.10.ffn_gate_exps.weight",1,8,232,103 205 136 155 63 173 132 74
10,"blk.10.ffn_up_exps.weight",1,8,232,103 205 136 155 63 173 132 74
10,"blk.10.ffn_down_exps.weight",1,8,232,103 205 136 155 63 173 132 74
11,"blk.11.ffn_gate_exps.weight",1,8,232,177 39 183 5 213 20 70 64
11,"blk.11.ffn_up_exps.weight",1,8,232,177 39 183 5 213 20 70 64
11,"blk.11.ffn_down_exps.weight",1,8,232,177 39 183 5 213 20 70 64
12,"blk.12.ffn_gate_exps.weight",1,8,232,118 117 24 65 174 120 88 8
12,"blk.12.ffn_up_exps.weight",1,8,232,118 117 24 65 174 120 88 8
12,"blk.12.ffn_down_exps.weight",1,8,232,118 117 24 65 174 120 88 8
13,"blk.13.ffn_gate_exps.weight",1,8,232,209 183 190 166 219 7 56 17
13,"blk.13.ffn_up_exps.weight",1,8,232,209 183 190 166 219 7 56 17
13,"blk.13.ffn_down_exps.weight",1,8,232,209 183 190 166 219 7 56 17
14,"blk.14.ffn_gate_exps.weight",1,8,232,186 92 199 32 153 157 19 209
14,"blk.14.ffn_up_exps.weight",1,8,232,186 92 199 32 153 157 19 209
14,"blk.14.ffn_down_exps.weight",1,8,232,186 92 199 32 153 157 19 209
15,"blk.15.ffn_gate_exps.weight",1,8,232,157 190 122 65 134 70 183 59
15,"blk.15.ffn_up_exps.weight",1,8,232,157 190 122 65 134 70 183 59
15,"blk.15.ffn_down_exps.weight",1,8,232,157 190 122 65 134 70 183 59
16,"blk.16.ffn_gate_exps.weight",1,8,232,124 115 158 47 95 145 109 134
16,"blk.16.ffn_up_exps.weight",1,8,232,124 115 158 47 95 145 109 134
16,"blk.16.ffn_down_exps.weight",1,8,232,124 115 158 47 95 145 109 134
17,"blk.17.ffn_gate_exps.weight",1,8,232,111 7 130 3 97 20 102 206
17,"blk.17.ffn_up_exps.weight",1,8,232,111 7 130 3 97 20 102 206
17,"blk.17.ffn_down_exps.weight",1,8,232,111 7 130 3 97 20 102 206
18,"blk.18.ffn_gate_exps.weight",1,8,232,122 156 206 1 226 0 212 137
18,"blk.18.ffn_up_exps.weight",1,8,232,122 156 206 1 226 0 212 137
18,"blk.18.ffn_down_exps.weight",1,8,232,122 156 206 1 226 0 212 137
19,"blk.19.ffn_gate_exps.weight",1,8,232,209 0 2 140 214 12 160 128
19,"blk.19.ffn_up_exps.weight",1,8,232,209 0 2 140 214 12 160 128
19,"blk.19.ffn_down_exps.weight",1,8,232,209 0 2 140 214 12 160 128
20,"blk.20.ffn_gate_exps.weight",1,8,232,9 8 205 218 7 10 89 199
20,"blk.20.ffn_up_exps.weight",1,8,232,9 8 205 218 7 10 89 199
20,"blk.20.ffn_down_exps.weight",1,8,232,9 8 205 218 7 10 89 199
21,"blk.21.ffn_gate_exps.weight",1,8,232,183 100 2 113 222 70 8 85
21,"blk.21.ffn_up_exps.weight",1,8,232,183 100 2 113 222 70 8 85
21,"blk.21.ffn_down_exps.weight",1,8,232,183 100 2 113 222 70 8 85
22,"blk.22.ffn_gate_exps.weight",1,8,232,24 22 79 204 218 213 217 144
22,"blk.22.ffn_up_exps.weight",1,8,232,24 22 79 204 218 213 217 144
22,"blk.22.ffn_down_exps.weight",1,8,232,24 22 79 204 218 213 217 144
23,"blk.23.ffn_gate_exps.weight",1,8,232,18 65 191 11 24 79 12 77
23,"blk.23.ffn_up_exps.weight",1,8,232,18 65 191 11 24 79 12 77
23,"blk.23.ffn_down_exps.weight",1,8,232,18 65 191 11 24 79 12 77
24,"blk.24.ffn_gate_exps.weight",1,8,232,14 207 186 221 121 32 99 179
24,"blk.24.ffn_up_exps.weight",1,8,232,14 207 186 221 121 32 99 179
24,"blk.24.ffn_down_exps.weight",1,8,232,14 207 186 221 121 32 99 179
25,"blk.25.ffn_gate_exps.weight",1,8,232,19 127 148 113 37 150 114 61
25,"blk.25.ffn_up_exps.weight",1,8,232,19 127 148 113 37 150 114 61
25,"blk.25.ffn_down_exps.weight",1,8,232,19 127 148 113 37 150 114 61
26,"blk.26.ffn_gate_exps.weight",1,8,232,57 162 14 164 231 165 51 111
26,"blk.26.ffn_up_exps.weight",1,8,232,57 162 14 164 231 165 51 111
26,"blk.26.ffn_down_exps.weight",1,8,232,57 162 14 164 231 165 51 111
27,"blk.27.ffn_gate_exps.weight",1,8,232,201 218 104 206 175 148 190 196
27,"blk.27.ffn_up_exps.weight",1,8,232,201 218 104 206 175 148 190 196
27,"blk.27.ffn_down_exps.weight",1,8,232,201 218 104 206 175 148 190 196
0,"blk.0.ffn_gate_exps.weight",1,8,232,100 78 94 95 14 106 19 80
0,"blk.0.ffn_up_exps.weight",1,8,232,100 78 94 95 14 106 19 80
0,"blk.0.ffn_down_exps.weight",1,8,232,100 78 94 95 14 106 19 80
1,"blk.1.ffn_gate_exps.weight",1,8,232,80 74 37 71 188 214 27 25
1,"blk.1.ffn_up_exps.weight",1,8,232,80 74 37 71 188 214 27 25
1,"blk.1.ffn_down_exps.weight",1,8,232,80 74 37 71 188 214 27 25
2,"blk.2.ffn_gate_exps.weight",1,8,232,93 43 113 92 172 23 55 146
2,"blk.2.ffn_up_exps.weight",1,8,232,93 43 113 92 172 23 55 146
2,"blk.2.ffn_down_exps.weight",1,8,232,93 43 113 92 172 23 55 146
3,"blk.3.ffn_gate_exps.weight",1,8,232,36 172 85 158 171 185 78 103
3,"blk.3.ffn_up_exps.weight",1,8,232,36 172 85 158 171 185 78 103
3,"blk.3.ffn_down_exps.weight",1,8,232,36 172 85 158 171 185 78 103
4,"blk.4.ffn_gate_exps.weight",1,8,232,88 20 139 169 211 229 37 165
4,"blk.4.ffn_up_exps.weight",1,8,232,88 20 139 169 211 229 37 165
4,"blk.4.ffn_down_exps.weight",1,8,232,88 20 139 169 211 229 37 165
5,"blk.5.ffn_gate_exps.weight",1,8,232,164 182 134 72 224 102 11 91
5,"blk.5.ffn_up_exps.weight",1,8,232,164 182 134 72 224 102 11 91
5,"blk.5.ffn_down_exps.weight",1,8,232,164 182 134 72 224 102 11 91
6,"blk.6.ffn_gate_exps.weight",1,8,232,189 54 187 79 186 113 97 156
6,"blk.6.ffn_up_exps.weight",1,8,232,189 54 187 79 186 113 97 156
6,"blk.6.ffn_down_exps.weight",1,8,232,189 54 187 79 186 113 97 156
7,"blk.7.ffn_gate_exps.weight",1,8,232,182 146 94 119 99 165 124 5
7,"blk.7.ffn_up_exps.weight",1,8,232,182 146 94 119 99 165 124 5
7,"blk.7.ffn_down_exps.weight",1,8,232,182 146 94 119 99 165 124 5
8,"blk.8.ffn_gate_exps.weight",1,8,232,161 110 71 27 176 162 9 125
8,"blk.8.ffn_up_exps.weight",1,8,232,161 110 71 27 176 162 9 125
8,"blk.8.ffn_down_exps.weight",1,8,232,161 110 71 27 176 162 9 125
9,"blk.9.ffn_gate_exps.weight",1,8,232,31 172 7 81 153 37 54 152
9,"blk.9.ffn_up_exps.weight",1,8,232,31 172 7 81 153 37 54 152
9,"blk.9.ffn_down_exps.weight",1,8,232,31 172 7 81 153 37 54 152
10,"blk.10.ffn_gate_exps.weight",1,8,232,185 175 106 208 24 78 116 136
10,"blk.10.ffn_up_exps.weight",1,8,232,185 175 106 208 24 78 116 136
10,"blk.10.ffn_down_exps.weight",1,8,232,185 175 106 208 24 78 116 136
11,"blk.11.ffn_gate_exps.weight",1,8,232,70 46 178 20 176 89 16 54
11,"blk.11.ffn_up_exps.weight",1,8,232,70 46 178 20 176 89 16 54
11,"blk.11.ffn_down_exps.weight",1,8,232,70 46 178 20 176 89 16 54
12,"blk.12.ffn_gate_exps.weight",1,8,232,117 51 82 120 210 68 131 88
12,"blk.12.ffn_up_exps.weight",1,8,232,117 51 82 120 210 68 131 88
12,"blk.12.ffn_down_exps.weight",1,8,232,117 51 82 120 210 68 131 88
13,"blk.13.ffn_gate_exps.weight",1,8,232,83 208 29 25 167 7 17 81
13,"blk.13.ffn_up_exps.weight",1,8,232,83 208 29 25 167 7 17 81
13,"blk.13.ffn_down_exps.weight",1,8,232,83 208 29 25 167 7 17 81
14,"blk.14.ffn_gate_exps.weight",1,8,232,227 2 137 209 206 121 114 194
14,"blk.14.ffn_up_exps.weight",1,8,232,227 2 137 209 206 121 114 194
14,"blk.14.ffn_down_exps.weight",1,8,232,227 2 137 209 206 121 114 194
15,"blk.15.ffn_gate_exps.weight",1,8,232,186 111 54 59 145 70 155 159
15,"blk.15.ffn_up_exps.weight",1,8,232,186 111 54 59 145 70 155 159
15,"blk.15.ffn_down_exps.weight",1,8,232,186 111 54 59 145 70 155 159
16,"blk.16.ffn_gate_exps.weight",1,8,232,117 70 224 92 223 201 170 179
16,"blk.16.ffn_up_exps.weight",1,8,232,117 70 224 92 223 201 170 179
16,"blk.16.ffn_down_exps.weight",1,8,232,117 70 224 92 223 201 170 179
17,"blk.17.ffn_gate_exps.weight",1,8,232,38 194 100 17 175 192 149 67
17,"blk.17.ffn_up_exps.weight",1,8,232,38 194 100 17 175 192 149 67
17,"blk.17.ffn_down_exps.weight",1,8,232,38 194 100 17 175 192 149 67
18,"blk.18.ffn_gate_exps.weight",1,8,232,183 216 193 34 95 131 28 24
18,"blk.18.ffn_up_exps.weight",1,8,232,183 216 193 34 95 131 28 24
18,"blk.18.ffn_down_exps.weight",1,8,232,183 216 193 34 95 131 28 24
19,"blk.19.ffn_gate_exps.weight",1,8,232,14 50 162 184 9 31 101 80
19,"blk.19.ffn_up_exps.weight",1,8,232,14 50 162 184 9 31 101 80
19,"blk.19.ffn_down_exps.weight",1,8,232,14 50 162 184 9 31 101 80
20,"blk.20.ffn_gate_exps.weight",1,8,232,142 16 221 187 216 202 164 193
20,"blk.20.ffn_up_exps.weight",1,8,232,142 16 221 187 216 202 164 193
20,"blk.20.ffn_down_exps.weight",1,8,232,142 16 221 187 216 202 164 193
21,"blk.21.ffn_gate_exps.weight",1,8,232,215 115 1 141 153 98 82 122
21,"blk.21.ffn_up_exps.weight",1,8,232,215 115 1 141 153 98 82 122
21,"blk.21.ffn_down_exps.weight",1,8,232,215 115 1 141 153 98 82 122
22,"blk.22.ffn_gate_exps.weight",1,8,232,110 24 59 27 96 20 8 12
22,"blk.22.ffn_up_exps.weight",1,8,232,110 24 59 27 96 20 8 12
22,"blk.22.ffn_down_exps.weight",1,8,232,110 24 59 27 96 20 8 12
23,"blk.23.ffn_gate_exps.weight",1,8,232,180 77 199 31 191 173 198 109
23,"blk.23.ffn_up_exps.weight",1,8,232,180 77 199 31 191 173 198 109
23,"blk.23.ffn_down_exps.weight",1,8,232,180 77 199 31 191 173 198 109
24,"blk.24.ffn_gate_exps.weight",1,8,232,97 197 154 202 115 12 47 44
24,"blk.24.ffn_up_exps.weight",1,8,232,97 197 154 202 115 12 47 44
24,"blk.24.ffn_down_exps.weight",1,8,232,97 197 154 202 115 12 47 44
25,"blk.25.ffn_gate_exps.weight",1,8,232,43 199 221 146 88 133 30 155
25,"blk.25.ffn_up_exps.weight",1,8,232,43 199 221 146 88 133 30 155
25,"blk.25.ffn_down_exps.weight",1,8,232,43 199 221 146 88 133 30 155
26,"blk.26.ffn_gate_exps.weight",1,8,232,5 190 178 228 163 59 26 145
26,"blk.26.ffn_up_exps.weight",1,8,232,5 190 178 228 163 59 26 145
26,"blk.26.ffn_down_exps.weight",1,8,232,5 190 178 228 163 59 26 145
27,"blk.27.ffn_gate_exps.weight",1,8,232,162 28 18 193 137 58 223 150
27,"blk.27.ffn_up_exps.weight",1,8,232,162 28 18 193 137 58 223 150
27,"blk.27.ffn_down_exps.weight",1,8,232,162 28 18 193 137 58 223 150
0,"blk.0.ffn_gate_exps.weight",1,8,232,14 115 63 127 141 80 134 166
0,"blk.0.ffn_up_exps.weight",1,8,232,14 115 63 127 141 80 134 166
0,"blk.0.ffn_down_exps.weight",1,8,232,14 115 63 127 141 80 134 166
1,"blk.1.ffn_gate_exps.weight",1,8,232,160 31 1 115 49 8 201 210
1,"blk.1.ffn_up_exps.weight",1,8,232,160 31 1 115 49 8 201 210
1,"blk.1.ffn_down_exps.weight",1,8,232,160 31 1 115 49 8 201 210
2,"blk.2.ffn_gate_exps.weight",1,8,232,43 76 23 146 205 206 221 217
2,"blk.2.ffn_up_exps.weight",1,8,232,43 76 23 146 205 206 221 217
2,"blk.2.ffn_down_exps.weight",1,8,232,43 76 23 146 205 206 221 217
3,"blk.3.ffn_gate_exps.weight",1,8,232,36 185 96 142 7 55 190 134
3,"blk.3.ffn_up_exps.weight",1,8,232,36 185 96 142 7 55 190 134
3,"blk.3.ffn_down_exps.weight",1,8,232,36 185 96 142 7 55 190 134
4,"blk.4.ffn_gate_exps.weight",1,8,232,88 40 38 139 229 177 74 169
4,"blk.4.ffn_up_exps.weight",1,8,232,88 40 38 139 229 177 74 169
4,"blk.4.ffn_down_exps.weight",1,8,232,88 40 38 139 229 177 74 169
5,"blk.5.ffn_gate_exps.weight",1,8,232,134 187 182 72 91 11 2 133
5,"blk.5.ffn_up_exps.weight",1,8,232,134 187 182 72 91 11 2 133
5,"blk.5.ffn_down_exps.weight",1,8,232,134 187 182 72 91 11 2 133
6,"blk.6.ffn_gate_exps.weight",1,8,232,189 54 143 138 124 192 114 97
6,"blk.6.ffn_up_exps.weight",1,8,232,189 54 143 138 124 192 114 97
6,"blk.6.ffn_down_exps.weight",1,8,232,189 54 143 138 124 192 114 97
7,"blk.7.ffn_gate_exps.weight",1,8,232,146 182 98 119 66 97 13 124
7,"blk.7.ffn_up_exps.weight",1,8,232,146 182 98 119 66 97 13 124
7,"blk.7.ffn_down_exps.weight",1,8,232,146 182 98 119 66 97 13 124
8,"blk.8.ffn_gate_exps.weight",1,8,232,27 176 161 102 162 202 71 65
8,"blk.8.ffn_up_exps.weight",1,8,232,27 176 161 102 162 202 71 65
8,"blk.8.ffn_down_exps.weight",1,8,232,27 176 161 102 162 202 71 65
9,"blk.9.ffn_gate_exps.weight",1,8,232,31 172 34 4 152 153 7 123
9,"blk.9.ffn_up_exps.weight",1,8,232,31 172 34 4 152 153 7 123
9,"blk.9.ffn_down_exps.weight",1,8,232,31 172 34 4 152 153 7 123
10,"blk.10.ffn_gate_exps.weight",1,8,232,185 175 208 106 211 77 78 108
10,"blk.10.ffn_up_exps.weight",1,8,232,185 175 208 106 211 77 78 108
10,"blk.10.ffn_down_exps.weight",1,8,232,185 175 208 106 211 77 78 108
11,"blk.11.ffn_gate_exps.weight",1,8,232,46 70 20 178 16 176 12 89
11,"blk.11.ffn_up_exps.weight",1,8,232,46 70 20 178 16 176 12 89
11,"blk.11.ffn_down_exps.weight",1,8,232,46 70 20 178 16 176 12 89
12,"blk.12.ffn_gate_exps.weight",1,8,232,117 51 82 57 120 71 18 104
12,"blk.12.ffn_up_exps.weight",1,8,232,117 51 82 57 120 71 18 104
12,"blk.12.ffn_down_exps.weight",1,8,232,117 51 82 57 120 71 18 104
13,"blk.13.ffn_gate_exps.weight",1,8,232,29 83 208 20 17 7 33 12
13,"blk.13.ffn_up_exps.weight",1,8,232,29 83 208 20 17 7 33 12
13,"blk.13.ffn_down_exps.weight",1,8,232,29 83 208 20 17 7 33 12
14,"blk.14.ffn_gate_exps.weight",1,8,232,227 209 194 2 137 52 121 197
14,"blk.14.ffn_up_exps.weight",1,8,232,227 209 194 2 137 52 121 197
14,"blk.14.ffn_down_exps.weight",1,8,232,227 209 194 2 137 52 121 197
15,"blk.15.ffn_gate_exps.weight",1,8,232,186 70 59 145 155 54 111 81
15,"blk.15.ffn_up_exps.weight",1,8,232,186 70 59 145 155 54 111 81
15,"blk.15.ffn_down_exps.weight",1,8,232,186 70 59 145 155 54 111 81
16,"blk.16.ffn_gate_exps.weight",1,8,232,152 117 70 201 72 223 212 177
16,"blk.16.ffn_up_exps.weight",1,8,232,152 117 70 201 72 223 212 177
16,"blk.16.ffn_down_exps.weight",1,8,232,152 117 70 201 72 223 212 177
17,"blk.17.ffn_gate_exps.weight",1,8,232,194 38 175 100 67 192 80 203
